Column1,Unnamed: 0,No.,Comment,Label
259,259,260,a giàu vcl a,1
1070,1070,1071,gg,0
1531,1531,1532,rikaki đg hq buồn,0
1971,1971,1972,"hq thế_giới non lắm , sự_thật đi cháu , vô_địch quần què nè .",0
2210,2210,2211,khoa quánh veres t sợ,0
2836,2836,2837,10k gánh ko phai thực_lực,0
4004,4004,4005,ngài đút_lót bnh tiền trốn nvqs v ae,2
7271,7271,7272,coi đoạn gank,0
3852,3852,3853,massage awesome,0
4290,4290,4291,samurao,0
3490,3490,3491,farewell suyễn_baguette,0
3859,3859,3860,ulti nhảy chết awesome,0
5741,5741,5742,đánh ad counter mấy sát_thủ di_chuyển team tối_ưu k,0
976,976,977,quảng_cáo giải anh_em zui zẻ xíuuu,0
6819,6819,6820,"im người_ta , mấy thằng đần_độn spoil",2
3405,3405,3406,đi nhậu,0
4457,4457,4458,team toàn 458 k z bây,0
527,527,528,! matchday,0
3754,3754,3755,3 liền,0
2503,2503,2504,tâm h,0
6626,6626,6627,thằng cụ mày đi,2
5101,5101,5102,sp ad ngu lồn,2
464,464,465,fnatoác = ) ) ) ),0
6040,6040,6041,sp giết giết 1 chó dại,2
1811,1811,1812,"flash ngan , sách bút học_hỏi",2
4407,4407,4408,swap lane,0
6184,6184,6185,có evi đánh cảm_xúc,0
1390,1390,1391,bí_mật z mng,0
6035,6035,6036,múa múa,0
5716,5716,5717,nói_vậy,0
1494,1494,1495,cánh đổi quà,0
608,608,609,@ đức hoàng nip liên_minh lun hã = ) ) ) tui kbt ta,0
813,813,814,phốc throw ult,0
2325,2325,2326,j hoài zậy,0
6799,6799,6800,tởm,0
2501,2501,2502,taara đi,0
7114,7114,7115,đánh,0
4048,4048,4049,ngài tăng_tốc 3 anh_em ghét awesome,0
6237,6237,6238,lính_vậy,0
3686,3686,3687,jbo in 2023 awesome,0
1419,1419,1420,blooy,0
7878,7878,7879,đọc sách,0
4031,4031,4032,ngại nhắm,0
7959,7959,7960,ham tục uống,0
3604,3604,3605,hẳn no rp,0
888,888,889,áccc,0
518,518,519,"t lol vn esports vn đc cố lắm , khu_vực k kém mấy",0
2705,2705,2706,vgame ming vô_địch,0
2529,2529,2530,"thả đại dame to , t học thả bừa",0
6171,6171,6172,phế vật,1
5713,5713,5714,coc then e thresh,0
3089,3089,3090,bot,0
3876,3876,3877,mấy giừo bắn đấy mn,0
5906,5906,5907,ngu cút,1
4137,4137,4138,ns dơi,0
2632,2632,2633,trâu,0
7614,7614,7615,gáy_ácc,0
1798,1798,1799,fl ko thể top11,0
4396,4396,4397,stun farm ngài,0
1037,1037,1038,fan infinity 2h : >,0
16,16,17,hề 2 last hốp suy vl,1
6413,6413,6414,hansa play bồ lê_vi ,0
2535,2535,2536,thailand no1  ,0
737,737,738,chia slot có_lý_do,0
551,551,552,sẽ 12 đội_tuyển khắp khu_vực tranh tài giải_đấu .,0
7934,7934,7935,ồn vãi lồn,1
593,593,594,nip,0
2269,2269,2270,ngon,0
2514,2514,2515,team bình đag cố kéo_late,0
4109,4109,4110,1 vị_thần,0
4245,4245,4246,rank mong tank buff = ) ) ),0
903,903,904,đẹp_trai đấy,0
6224,6224,6225,10 game ys 9 game thua,0
4770,4770,4771,xong game,0
3202,3202,3203,kịp bặt nhắm,0
805,805,806,op khỏe,0
3150,3150,3151,cbi feed nao ` awesome,0
5632,5632,5633,ping,0
1116,1116,1117,dcm = ) ) 0 lạy lynx,2
1813,1813,1814,flash_wolves = ) ),0
5460,5460,5461,2 4 mạng,0
2521,2521,2522,team yếu kì v,0
2927,2927,2928,ae dieback awesome,0
6219,6219,6220,1 giết 4,0
6273,6273,6274,nhường mạng tao,0
3156,3156,3157,chả ex g2,0
3595,3595,3596,hà_nội 12 ngày_đêm,0
7697,7697,7698,2 thằng k dc red,0
5709,5709,5710,,0
6302,6302,6303,yếu mẹ yếu,1
7020,7020,7021,bất_lực : v,0
5355,5355,5356,choanfg,0
7723,7723,7724,nhà_cái : ) ),0
1835,1835,1836,fr cháy r,0
4059,4059,4060,ngài xài quickcast ko bấm 2 đc,0
759,759,760,,0
4378,4378,4379,smooya thai chuyen gioi a manly the,0
3265,3265,3266,win đc ?,0
7287,7287,7288,có ae thi game gi cung,0
7550,7550,7551,bin lpl tế tiếp,0
4602,4602,4603,tự_ái bây,0
2741,2741,2742,wag đi bo yếu lối giao_tranh khô máu e vọt,0
4876,4876,4877,game win đéo 3r,1
512,512,513,@ trần_ngọc_văn s tui mấy ung_thư coi ,0
325,325,326,ngẩng đầu đẹp_trai : ),0
6156,6156,6157,mày,0
4700,4700,4701,vl es đẩy xa_thế,1
7761,7761,7762,levi gank team ác,0
3542,3542,3543,11k r ngài,0
5358,5358,5359,đánh,0
1883,1883,1884,h gáy đc nx,0
4024,4024,4025,"ngài pike massage , butterfly crit2 stick ủi banh đi",0
7030,7030,7031,se,0
1260,1260,1261,ad check bụi ...,0
3779,3779,3780,lên gậy silen 2 silen,0
7238,7238,7239,cày thuê mid lane ko,0
2601,2601,2602,toàn mấy tk anti giả_danh fan fl,0
